layer,sequences,time_us
model_core,1,23108.056374667
model_core_stage_0,1,23108.056374667
model_core,2,26562.722838960
model_core_stage_0,2,26562.722838960
model_core,3,29937.296678151
model_core_stage_0,3,29937.296678151
model_core,4,33233.636826593
model_core_stage_0,4,33233.636826593
model_core,5,36453.559073131
model_core_stage_0,5,36453.559073131
model_core,6,39598.837062502
model_core_stage_0,6,39598.837062502
model_core,7,42671.203273492
model_core_stage_0,7,42671.203273492
model_core,8,45672.349974387
model_core_stage_0,8,45672.349974387
model_core,9,48603.930156255
model_core_stage_0,9,48603.930156255
model_core,10,51467.558444561
model_core_stage_0,10,51467.558444561
model_core,11,54264.811989624
model_core_stage_0,11,54264.811989624
model_core,12,56997.231336408
model_core_stage_0,12,56997.231336408
model_core,13,59666.321274129
model_core_stage_0,13,59666.321274129
model_core,14,62273.551666132
model_core_stage_0,14,62273.551666132
model_core,15,64820.358260522
model_core_stage_0,15,64820.358260522
model_core,16,67308.143481966
model_core_stage_0,16,67308.143481966
model_core,17,69738.277205123
model_core_stage_0,17,69738.277205123
model_core,18,72112.097510130
model_core_stage_0,18,72112.097510130
model_core,19,74430.911420541
model_core_stage_0,19,74430.911420541
model_core,20,76695.995624145
model_core_stage_0,20,76695.995624145
model_core,21,78908.597177056
model_core_stage_0,21,78908.597177056
model_core,22,81069.934191453
model_core_stage_0,22,81069.934191453
model_core,23,83181.196507371
model_core_stage_0,23,83181.196507371
model_core,24,85243.546348885
model_core_stage_0,24,85243.546348885
model_core,25,87258.118965075
model_core_stage_0,25,87258.118965075
model_core,26,89226.023256109
model_core_stage_0,26,89226.023256109
model_core,27,91148.342384795
model_core_stage_0,27,91148.342384795
model_core,28,93026.134373943
model_core_stage_0,28,93026.134373943
model_core,29,94860.432689859
model_core_stage_0,29,94860.432689859
model_core,30,96652.246812293
model_core_stage_0,30,96652.246812293
model_core,31,98402.562791167
model_core_stage_0,31,98402.562791167
model_core,32,100112.343790374
model_core_stage_0,32,100112.343790374
model_core,33,101782.530618960
model_core_stage_0,33,101782.530618960
model_core,34,103414.042249975
model_core_stage_0,34,103414.042249975
model_core,35,105007.776327280
model_core_stage_0,35,105007.776327280
