layer,sequences,time_us
model_core,1,53156.299942689
model_core_stage_0,1,6029.043137454
model_core_stage_1,1,6698.936819393
model_core_stage_2,1,6698.936819393
model_core_stage_3,1,6698.936819393
model_core_stage_4,1,6698.936819393
model_core_stage_5,1,6698.936819393
model_core_stage_6,1,6698.936819393
model_core_stage_7,1,6933.635888878
model_core,2,76958.257329021
model_core_stage_0,2,8775.405176654
model_core_stage_1,2,9750.450196282
model_core_stage_2,2,9750.450196282
model_core_stage_3,2,9750.450196282
model_core_stage_4,2,9750.450196282
model_core_stage_5,2,9750.450196282
model_core_stage_6,2,9750.450196282
model_core_stage_7,2,9680.150974677
model_core,3,100026.714159212
model_core_stage_0,3,11437.132536299
model_core_stage_1,3,12707.925040332
model_core_stage_2,3,12707.925040332
model_core_stage_3,3,12707.925040332
model_core_stage_4,3,12707.925040332
model_core_stage_5,3,12707.925040332
model_core_stage_6,3,12707.925040332
model_core_stage_7,3,12342.031380922
model_core,4,122384.281376798
model_core_stage_0,4,14016.834171413
model_core_stage_1,4,15574.260190458
model_core_stage_2,4,15574.260190458
model_core_stage_3,4,15574.260190458
model_core_stage_4,4,15574.260190458
model_core_stage_5,4,15574.260190458
model_core_stage_6,4,15574.260190458
model_core_stage_7,4,14921.886062635
model_core,5,144052.872918663
model_core_stage_0,5,16517.038613174
model_core_stage_1,5,18352.265125749
model_core_stage_2,5,18352.265125749
model_core_stage_3,5,18352.265125749
model_core_stage_4,5,18352.265125749
model_core_stage_5,5,18352.265125749
model_core_stage_6,5,18352.265125749
model_core_stage_7,5,17422.243550995
model_core,6,165053.727201017
model_core_stage_0,6,18940.196448069
model_core_stage_1,6,21044.662720077
model_core_stage_2,6,21044.662720077
model_core_stage_3,6,21044.662720077
model_core_stage_4,6,21044.662720077
model_core_stage_5,6,21044.662720077
model_core_stage_6,6,21044.662720077
model_core_stage_7,6,19845.554432489
model_core,7,185407.427943050
model_core_stage_0,7,21288.682720619
model_core_stage_1,7,23654.091911799
model_core_stage_2,7,23654.091911799
model_core_stage_3,7,23654.091911799
model_core_stage_4,7,23654.091911799
model_core_stage_5,7,23654.091911799
model_core_stage_6,7,23654.091911799
model_core_stage_7,7,22194.193751638
model_core,8,205133.924348667
model_core_stage_0,8,23564.799262044
model_core_stage_1,8,26183.110291160
model_core_stage_2,8,26183.110291160
model_core_stage_3,8,26183.110291160
model_core_stage_4,8,26183.110291160
model_core_stage_5,8,26183.110291160
model_core_stage_6,8,26183.110291160
model_core_stage_7,8,24470.463339662
model_core,9,224252.550666109
model_core_stage_0,9,25770.776947141
model_core_stage_1,9,28634.196607935
model_core_stage_2,9,28634.196607935
model_core_stage_3,9,28634.196607935
model_core_stage_4,9,28634.196607935
model_core_stage_5,9,28634.196607935
model_core_stage_6,9,28634.196607935
model_core_stage_7,9,26676.594071359
model_core,10,242782.045144620
model_core_stage_0,10,27908.777881593
model_core_stage_1,10,31009.753201770
model_core_stage_2,10,31009.753201770
model_core_stage_3,10,31009.753201770
model_core_stage_4,10,31009.753201770
model_core_stage_5,10,31009.753201770
model_core_stage_6,10,31009.753201770
model_core_stage_7,10,28814.748052409
model_core,11,260740.568406757
model_core_stage_0,11,29980.897521847
model_core_stage_1,11,33312.108357608
model_core_stage_2,11,33312.108357608
model_core_stage_3,11,33312.108357608
model_core_stage_4,11,33312.108357608
model_core_stage_5,11,33312.108357608
model_core_stage_6,11,33312.108357608
model_core_stage_7,11,30887.020739263
model_core,12,278145.721254355
model_core_stage_0,12,31989.166729655
model_core_stage_1,12,35543.518588505
model_core_stage_2,12,35543.518588505
model_core_stage_3,12,35543.518588505
model_core_stage_4,12,35543.518588505
model_core_stage_5,12,35543.518588505
model_core_stage_6,12,35543.518588505
model_core_stage_7,12,32895.442993669
model_core,13,295014.561925602
model_core_stage_0,13,33935.553763268
model_core_stage_1,13,37706.170848075
model_core_stage_2,13,37706.170848075
model_core_stage_3,13,37706.170848075
model_core_stage_4,13,37706.170848075
model_core_stage_5,13,37706.170848075
model_core_stage_6,13,37706.170848075
model_core_stage_7,13,34841.983073882
model_core,14,311363.622820150
model_core_stage_0,14,35821.966207262
model_core_stage_1,14,39802.184674736
model_core_stage_2,14,39802.184674736
model_core_stage_3,14,39802.184674736
model_core_stage_4,14,39802.184674736
model_core_stage_5,14,39802.184674736
model_core_stage_6,14,39802.184674736
model_core_stage_7,14,36728.548564475
model_core,15,327208.926708648
model_core_stage_0,15,37650.252842866
model_core_stage_1,15,41833.614269851
model_core_stage_2,15,41833.614269851
model_core_stage_3,15,41833.614269851
model_core_stage_4,15,41833.614269851
model_core_stage_5,15,41833.614269851
model_core_stage_6,15,41833.614269851
model_core_stage_7,15,38556.988246677
model_core,16,342566.002442606
model_core_stage_0,16,39422.205460638
model_core_stage_1,16,43802.450511820
model_core_stage_2,16,43802.450511820
model_core_stage_3,16,43802.450511820
model_core_stage_4,16,43802.450511820
model_core_stage_5,16,43802.450511820
model_core_stage_6,16,43802.450511820
model_core_stage_7,16,40329.093911049
model_core,17,357449.900179989
model_core_stage_0,17,41139.560617267
model_core_stage_1,17,45710.622908074
model_core_stage_2,17,45710.622908074
model_core_stage_3,17,45710.622908074
model_core_stage_4,17,45710.622908074
model_core_stage_5,17,45710.622908074
model_core_stage_6,17,45710.622908074
model_core_stage_7,17,42046.602114277
model_core,18,371875.206141451
model_core_stage_0,18,42804.001338213
model_core_stage_1,18,47560.001486903
model_core_stage_2,18,47560.001486903
model_core_stage_3,18,47560.001486903
model_core_stage_4,18,47560.001486903
model_core_stage_5,18,47560.001486903
model_core_stage_6,18,47560.001486903
model_core_stage_7,18,43711.195881822
model_core,19,385856.056911711
model_core_stage_0,19,44417.158767866
model_core_stage_1,19,49352.398630962
model_core_stage_2,19,49352.398630962
model_core_stage_3,19,49352.398630962
model_core_stage_4,19,49352.398630962
model_core_stage_5,19,49352.398630962
model_core_stage_6,19,49352.398630962
model_core_stage_7,19,45324.506358074
model_core,20,399406.153300057
model_core_stage_0,20,45980.613768837
model_core_stage_1,20,51089.570854263
model_core_stage_2,20,51089.570854263
model_core_stage_3,20,51089.570854263
model_core_stage_4,20,51089.570854263
model_core_stage_5,20,51089.570854263
model_core_stage_6,20,51089.570854263
model_core_stage_7,20,46888.114405644
model_core,21,412538.773773595
model_core_stage_0,21,47495.898471945
model_core_stage_1,21,52773.220524383
model_core_stage_2,21,52773.220524383
model_core_stage_3,21,52773.220524383
model_core_stage_4,21,52773.220524383
model_core_stage_5,21,52773.220524383
model_core_stage_6,21,52773.220524383
model_core_stage_7,21,48403.552155351
model_core,22,425266.787476404
model_core_stage_0,22,48964.497778431
model_core_stage_1,22,54404.997531590
model_core_stage_2,22,54404.997531590
model_core_stage_3,22,54404.997531590
model_core_stage_4,22,54404.997531590
model_core_stage_5,22,54404.997531590
model_core_stage_6,22,54404.997531590
model_core_stage_7,22,49872.304508436
model_core,23,437602.666847353
model_core_stage_0,23,50387.850815856
model_core_stage_1,23,55986.500906506
model_core_stage_2,23,55986.500906506
model_core_stage_3,23,55986.500906506
model_core_stage_4,23,55986.500906506
model_core_stage_5,23,55986.500906506
model_core_stage_6,23,55986.500906506
model_core_stage_7,23,51295.810592460
model_core,24,449558.499848970
model_core_stage_0,24,51767.352349127
model_core_stage_1,24,57519.280387919
model_core_stage_2,24,57519.280387919
model_core_stage_3,24,57519.280387919
