layer,sequences,time_us
model_core,1,40914.216971547
model_core_stage_0,1,4566.964250845
model_core_stage_1,1,4566.964250845
model_core_stage_2,1,5219.387715251
model_core_stage_3,1,5219.387715251
model_core_stage_4,1,5219.387715251
model_core_stage_5,1,5219.387715251
model_core_stage_6,1,5219.387715251
model_core_stage_7,1,5683.349893602
model_core,2,63466.562325024
model_core_stage_0,2,7154.919656132
model_core_stage_1,2,7154.919656132
model_core_stage_2,2,8177.051035579
model_core_stage_3,2,8177.051035579
model_core_stage_4,2,8177.051035579
model_core_stage_5,2,8177.051035579
model_core_stage_6,2,8177.051035579
model_core_stage_7,2,8271.467834864
model_core,3,85553.496770021
model_core_stage_0,3,9689.467252249
model_core_stage_1,3,9689.467252249
model_core_stage_2,3,11073.676859713
model_core_stage_3,3,11073.676859713
model_core_stage_4,3,11073.676859713
model_core_stage_5,3,11073.676859713
model_core_stage_6,3,11073.676859713
model_core_stage_7,3,10806.177966956
model_core,4,107184.628450374
model_core_stage_0,4,12171.709613079
model_core_stage_1,4,12171.709613079
model_core_stage_2,4,13910.525272091
model_core_stage_3,4,13910.525272091
model_core_stage_4,4,13910.525272091
model_core_stage_5,4,13910.525272091
model_core_stage_6,4,13910.525272091
model_core_stage_7,4,13288.582863761
model_core,5,128369.367155246
model_core_stage_0,5,14602.726550494
model_core_stage_1,5,14602.726550494
model_core_stage_2,5,16688.830343422
model_core_stage_3,5,16688.830343422
model_core_stage_4,5,16688.830343422
model_core_stage_5,5,16688.830343422
model_core_stage_6,5,16688.830343422
model_core_stage_7,5,15719.762337150
model_core,6,149116.928414048
model_core_stage_0,6,16983.575584261
model_core_stage_1,6,16983.575584261
model_core_stage_2,6,19409.800667727
model_core_stage_3,6,19409.800667727
model_core_stage_4,6,19409.800667727
model_core_stage_5,6,19409.800667727
model_core_stage_6,6,19409.800667727
model_core_stage_7,6,18100.773906892
model_core,7,169436.337506822
model_core_stage_0,7,19315.292402254
model_core_stage_1,7,19315.292402254
model_core_stage_2,7,22074.619888291
model_core_stage_3,7,22074.619888291
model_core_stage_4,7,22074.619888291
model_core_stage_5,7,22074.619888291
model_core_stage_6,7,22074.619888291
model_core_stage_7,7,20432.653260860
model_core,8,189336.433391829
model_core_stage_0,8,21598.891311160
model_core_stage_1,8,21598.891311160
model_core_stage_2,8,24684.447212754
model_core_stage_3,8,24684.447212754
model_core_stage_4,8,24684.447212754
model_core_stage_5,8,24684.447212754
model_core_stage_6,8,24684.447212754
model_core_stage_7,8,22716.414705741
model_core,9,208825.872552059
model_core_stage_0,9,23835.365677877
model_core_stage_1,9,23835.365677877
model_core_stage_2,9,27240.417917574
model_core_stage_3,9,27240.417917574
model_core_stage_4,9,27240.417917574
model_core_stage_5,9,27240.417917574
model_core_stage_6,9,27240.417917574
model_core_stage_7,9,24953.051608433
model_core,10,227913.132762325
model_core_stage_0,10,26025.688361813
model_core_stage_1,10,26025.688361813
model_core_stage_2,10,29743.643842071
model_core_stage_3,10,29743.643842071
model_core_stage_4,10,29743.643842071
model_core_stage_5,10,29743.643842071
model_core_stage_6,10,29743.643842071
model_core_stage_7,10,27143.536828343
model_core,11,246606.516778599
model_core_stage_0,11,28170.812138240
model_core_stage_1,11,28170.812138240
model_core_stage_2,11,32195.213872275
model_core_stage_3,11,32195.213872275
model_core_stage_4,11,32195.213872275
model_core_stage_5,11,32195.213872275
model_core_stage_6,11,32195.213872275
model_core_stage_7,11,29288.823140746
model_core,12,264914.155951169
model_core_stage_0,12,30271.670112931
model_core_stage_1,12,30271.670112931
model_core_stage_2,12,34596.194414779
model_core_stage_3,12,34596.194414779
model_core_stage_4,12,34596.194414779
model_core_stage_5,12,34596.194414779
model_core_stage_6,12,34596.194414779
model_core_stage_7,12,31389.843651412
model_core,13,282844.013763215
model_core_stage_0,13,32329.176128218
model_core_stage_1,13,32329.176128218
model_core_stage_2,13,36947.629860821
model_core_stage_3,13,36947.629860821
model_core_stage_4,13,36947.629860821
model_core_stage_5,13,36947.629860821
model_core_stage_6,13,36947.629860821
model_core_stage_7,13,33447.512202673
model_core,14,300403.889296333
model_core_stage_0,14,34344.225160677
model_core_stage_1,14,34344.225160677
model_core_stage_2,14,39250.543040774
model_core_stage_3,14,39250.543040774
model_core_stage_4,14,39250.543040774
model_core_stage_5,14,39250.543040774
model_core_stage_6,14,39250.543040774
model_core_stage_7,14,35462.723771107
model_core,15,317601.420624508
model_core_stage_0,15,36317.693710602
model_core_stage_1,15,36317.693710602
model_core_stage_2,15,41505.935669259
model_core_stage_3,15,41505.935669259
model_core_stage_4,15,41505.935669259
model_core_stage_5,15,41505.935669259
model_core_stage_6,15,41505.935669259
model_core_stage_7,15,37436.354857007
model_core,16,334444.088138025
model_core_stage_0,16,38250.440183435
model_core_stage_1,16,38250.440183435
model_core_stage_2,16,43714.788781068
model_core_stage_3,16,43714.788781068
model_core_stage_4,16,43714.788781068
model_core_stage_5,16,43714.788781068
model_core_stage_6,16,43714.788781068
model_core_stage_7,16,39369.263865814
model_core,17,350939.217798762
model_core_stage_0,17,40143.305263325
model_core_stage_1,17,40143.305263325
model_core_stage_2,17,45878.063158086
model_core_stage_3,17,45878.063158086
model_core_stage_4,17,45878.063158086
model_core_stage_5,17,45878.063158086
model_core_stage_6,17,45878.063158086
model_core_stage_7,17,41262.291481680
model_core,18,367093.984328277
model_core_stage_0,18,41997.112278978
model_core_stage_1,18,41997.112278978
model_core_stage_2,18,47996.699747403
model_core_stage_3,18,47996.699747403
model_core_stage_4,18,47996.699747403
model_core_stage_5,18,47996.699747403
model_core_stage_6,18,47996.699747403
model_core_stage_7,18,43116.261033307
model_core,19,382915.414330075
model_core_stage_0,19,43812.667561941
model_core_stage_1,19,43812.667561941
model_core_stage_2,19,50071.620070790
model_core_stage_3,19,50071.620070790
model_core_stage_4,19,50071.620070790
model_core_stage_5,19,50071.620070790
model_core_stage_6,19,50071.620070790
model_core_stage_7,19,44931.978852245
model_core,20,398410.389347422
model_core_stage_0,20,45590.760797508
model_core_stage_1,20,45590.760797508
model_core_stage_2,20,52103.726625724
model_core_stage_3,20,52103.726625724
model_core_stage_4,20,52103.726625724
model_core_stage_5,20,52103.726625724
model_core_stage_6,20,52103.726625724
model_core_stage_7,20,46710.234623787
model_core,21,413585.648858035
model_core_stage_0,21,47332.165368368
model_core_stage_1,21,47332.165368368
model_core_stage_2,21,54093.903278135
model_core_stage_3,21,54093.903278135
model_core_stage_4,21,54093.903278135
model_core_stage_5,21,54093.903278135
model_core_stage_6,21,54093.903278135
model_core_stage_7,21,48451.801730622
model_core,22,428447.793206939
model_core_stage_0,22,49037.638691164
model_core_stage_1,22,49037.638691164
model_core_stage_2,22,56043.015647044
model_core_stage_3,22,56043.015647044
model_core_stage_4,22,56043.015647044
model_core_stage_5,22,56043.015647044
model_core_stage_6,22,56043.015647044
model_core_stage_7,22,50157.437589392
model_core,23,443003.286478789
model_core_stage_0,23,50707.922546100
model_core_stage_1,23,50707.922546100
model_core_stage_2,23,57951.911481257
model_core_stage_3,23,57951.911481257
model_core_stage_4,23,57951.911481257
model_core_stage_5,23,57951.911481257
model_core_stage_6,23,57951.911481257
model_core_stage_7,23,51827.883980304
model_core,24,457258.459310879
model_core_stage_0,24,52343.743399753
model_core_stage_1,24,52343.743399753
model_core_stage_2,24,59821.421028289
model_core_stage_3,24,59821.421028289
model_core_stage_4,24,59821.421028289
model_core_stage_5,24,59821.421028289
model_core_stage_6,24,59821.421028289
model_core_stage_7,24,53463.867369931
model_core,25,471219.511648097
model_core_stage_0,25,53945.812721207
model_core_stage_1,25,53945.812721207
model_core_stage_2,25,61652.357395665
model_core_stage_3,25,61652.357395665
model_core_stage_4,25,61652.357395665
model_core_stage_5,25,61652.357395665
model_core_stage_6,25,61652.357395665
model_core_stage_7,25,55066.099227360
model_core,26,484892.515440988
model_core_stage_0,26,55514.827291672
model_core_stage_1,26,55514.827291672
model_core_stage_2,26,63445.516904768
model_core_stage_3,26,63445.516904768
model_core_stage_4,26,63445.516904768
model_core_stage_5,26,63445.516904768
model_core_stage_6,26,63445.516904768
model_core_stage_7,26,56635.276333801
model_core,27,498283.417288126
model_core_stage_0,27,57051.469507708
model_core_stage_1,27,57051.469507708
model_core_stage_2,27,65201.679437380
model_core_stage_3,27,65201.679437380
model_core_stage_4,27,65201.679437380
model_core_stage_5,27,65201.679437380
model_core_stage_6,27,65201.679437380
model_core_stage_7,27,58172.081085811
model_core,28,511398.041023939
model_core_stage_0,28,58556.407678181
model_core_stage_1,28,58556.407678181
model_core_stage_2,28,66921.608775064
model_core_stage_3,28,66921.608775064
model_core_stage_4,28,66921.608775064
model_core_stage_5,28,66921.608775064
model_core_stage_6,28,66921.608775064
model_core_stage_7,28,59677.181792259
model_core,29,524242.090253098
model_core_stage_0,29,60030.296315104
model_core_stage_1,29,60030.296315104
model_core_stage_2,29,68606.052931547
model_core_stage_3,29,68606.052931547
model_core_stage_4,29,68606.052931547
model_core_stage_5,29,68606.052931547
model_core_stage_6,29,68606.052931547
model_core_stage_7,29,61151.232965156
model_core,30,536821.150832597
model_core_stage_0,30,61473.776418459
model_core_stage_1,30,61473.776418459
model_core_stage_2,30,70255.744478239
model_core_stage_3,30,70255.744478239
model_core_stage_4,30,70255.744478239
model_core_stage_5,30,70255.744478239
model_core_stage_6,30,70255.744478239
model_core_stage_7,30,62594.875604486
model_core,31,549140.693302585
model_core_stage_0,31,62887.475755149
model_core_stage_1,31,62887.475755149
model_core_stage_2,31,71871.400863027
model_core_stage_3,31,71871.400863027
model_core_stage_4,31,71871.400863027
model_core_stage_5,31,71871.400863027
model_core_stage_6,31,71871.400863027
model_core_stage_7,31,64008.737477151
model_core,32,561206.075267017
model_core_stage_0,32,64272.009132185
model_core_stage_1,32,64272.009132185
model_core_stage_2,32,73453.724722497
model_core_stage_3,32,73453.724722497
model_core_stage_4,32,73453.724722497
model_core_stage_5,32,73453.724722497
